gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	regulation
ENSG00000080573	ENSG00000080573	323.770427486241	4.54372076322197	0.412629378300104	11.0116269033984	3.35882930188657e-28	3.20230785641866e-24	Upregulated
ENSG00000170891	ENSG00000170891	300.043767121443	3.9085156147991	0.597041189055378	6.54647566440607	5.89107435117991e-11	6.24061142934992e-08	Upregulated
ENSG00000105088	ENSG00000105088	140.987830319421	3.35868484122925	0.54370826176435	6.1773658364694	6.51799218959254e-10	3.27065987029343e-07	Upregulated
ENSG00000171208	ENSG00000171208	136.556019187085	3.20895767608673	0.676817761097926	4.74124330141868	2.12410663944799e-06	0.000251193761251883	Upregulated
ENSG00000146374	ENSG00000146374	727.828057833712	3.12424085529707	0.836481514501513	3.73497895785409	0.000187730883405694	0.0068054229748665	Upregulated
ENSG00000149968	ENSG00000149968	1364.29923036282	3.09418422477362	0.880084776711809	3.51577973696373	0.00043846458103069	0.0124045142894558	Upregulated
ENSG00000121068	ENSG00000121068	161.767147408088	3.09230276873847	0.339224108085962	9.11581074289349	7.80844344362745e-20	3.72228498957721e-16	Upregulated
ENSG00000101057	ENSG00000101057	49.6011113357221	2.68770177764918	0.3470492053713	7.74444008530049	9.60039521782589e-15	2.2882542001688e-11	Upregulated
ENSG00000120875	ENSG00000120875	446.800097848289	2.65880798268447	0.489335605199051	5.43350607320495	5.52574020977914e-08	1.46340019888984e-05	Upregulated
ENSG00000068489	ENSG00000068489	120.388112067237	2.65178414355447	0.439153336843107	6.03840144450923	1.55648445800528e-09	6.45196644461841e-07	Upregulated
ENSG00000148773	ENSG00000148773	89.6161026367292	2.62617413558864	0.485882589048797	5.40495624823653	6.48242142365367e-08	1.62640541718721e-05	Upregulated
ENSG00000174938	ENSG00000174938	70.5241575565729	2.62075998924854	0.454403450069125	5.76747379195706	8.04685937580929e-09	2.73995561746306e-06	Upregulated
ENSG00000196611	ENSG00000196611	1901.53085625441	2.58445793302882	0.698513277704117	3.69994102549268	0.000215649574835812	0.0074223936696196	Upregulated
ENSG00000129195	ENSG00000129195	38.3293208227255	2.54298036320583	0.326682339196647	7.78426029842734	7.01222543056853e-15	2.22848524183468e-11	Upregulated
ENSG00000166851	ENSG00000166851	52.6269950424202	2.52384089476491	0.356651725217355	7.07648587211179	1.47855819758533e-12	2.8193147711557e-09	Upregulated
ENSG00000117399	ENSG00000117399	91.794802019458	2.50049522475355	0.385924170772916	6.4792397422158	9.21859282716111e-11	7.99000581946855e-08	Upregulated
ENSG00000171848	ENSG00000171848	204.40967170308	2.48924017842509	0.564022471704734	4.41337057174595	1.01773571638571e-05	0.000829324129916355	Upregulated
ENSG00000159167	ENSG00000159167	1961.72884948298	2.48747866963131	0.648064027338247	3.83832239516206	0.000123877767052544	0.00495450866665123	Upregulated
ENSG00000154856	ENSG00000154856	47.524045131886	2.47715060267883	0.353523761149795	7.0070271786603	2.43434992457487e-12	3.86818203014947e-09	Upregulated
ENSG00000117724	ENSG00000117724	80.7231015891429	2.46577061332062	0.515616318216235	4.78218110290014	1.73403343650152e-06	0.00021752993136323	Upregulated
ENSG00000112984	ENSG00000112984	77.6086943159508	2.44723384420754	0.389938465942056	6.27594879180551	3.47508552019796e-10	2.12170760770949e-07	Upregulated
ENSG00000196616	ENSG00000196616	872.512049484636	2.39541028884188	0.781799177268072	3.06397136053843	0.0021841981868996	0.0334394763032525	Upregulated
ENSG00000225614	ENSG00000225614	44.2951865403609	2.38177388569593	0.464439154026849	5.12827970046263	2.92401797791925e-07	5.06865225481493e-05	Upregulated
ENSG00000041982	ENSG00000041982	6212.99800022436	2.37297038188683	0.557263393759651	4.25825634423477	2.06027615985121e-05	0.00135466709710493	Upregulated
ENSG00000142945	ENSG00000142945	51.0462874983722	2.36646246777407	0.420419132042704	5.62881726213567	1.81449504953656e-08	5.76646526742719e-06	Upregulated
ENSG00000150995	ENSG00000150995	99.4026025884034	2.36568708767073	0.39975388985446	5.91785883192286	3.26159718256142e-09	1.24384270154162e-06	Upregulated
ENSG00000167900	ENSG00000167900	108.982699690801	2.35119804403815	0.369359748656996	6.36560440759228	1.94522198046489e-10	1.32469616869659e-07	Upregulated
ENSG00000099998	ENSG00000099998	277.839535458108	2.29873496316692	0.700211234022553	3.28291642789164	0.00102739118582404	0.0215516957260531	Upregulated
ENSG00000013810	ENSG00000013810	109.019174732964	2.2479327820414	0.365457733401192	6.15100619467167	7.69929115438571e-10	3.64275175559191e-07	Upregulated
ENSG00000178999	ENSG00000178999	32.162430719282	2.20830601115313	0.501757865256183	4.40113880432275	1.07684207299734e-05	0.000850528192578821	Upregulated
ENSG00000114270	ENSG00000114270	295.141331264293	2.19321632027738	0.609367108542905	3.59917082745361	0.000319233440786682	0.00981797298212975	Upregulated
ENSG00000126787	ENSG00000126787	46.3505863852378	2.16718827408869	0.51867974303459	4.17827822118005	2.93724217093834e-05	0.00178367304826281	Upregulated
ENSG00000101412	ENSG00000101412	47.845136977799	2.15722856596942	0.367619077828941	5.86810831121558	4.40795279693392e-09	1.61636238330646e-06	Upregulated
ENSG00000076382	ENSG00000076382	42.6635355881224	2.14951677376939	0.39336165965043	5.46447962335629	4.64266704344699e-08	1.26466250263496e-05	Upregulated
ENSG00000137309	ENSG00000137309	603.297001326384	2.11715627833868	0.450847034913879	4.69595253907592	2.65367157224711e-06	0.000290805801951769	Upregulated
ENSG00000171241	ENSG00000171241	70.0811879512937	2.11379629135906	0.493532779742709	4.28299067077376	1.84397905945192e-05	0.00125574973948676	Upregulated
ENSG00000139910	ENSG00000139910	51.4814884379301	2.09419203552122	0.574754421505166	3.64362927393748	0.000268820538661066	0.00866974597700557	Upregulated
ENSG00000183421	ENSG00000183421	61.9686157805569	2.0909755612147	0.486597089798973	4.29713947134075	1.73016341560588e-05	0.001212895441499	Upregulated
