gene_name	cluster
1	AGT	cl1
2	ANK1	cl1
3	ANLN	cl1
4	ASF1B	cl1
5	ASPM	cl1
6	ATP5F1D	cl1
7	AURKA	cl1
8	AURKB	cl1
9	BIRC5	cl1
10	BRCA1	cl1
11	BUB1	cl1
12	BUB1B	cl1
13	BUB3	cl1
14	CACNA1A	cl1
15	CCNA2	cl1
16	CCNB1	cl1
17	CCNB2	cl1
18	CCND3	cl1
19	CDC20	cl1
20	CDC25C	cl1
21	CDC26	cl1
22	CDC45	cl1
23	CDC6	cl1
24	CDCA2	cl1
25	CDCA3	cl1
26	CDCA5	cl1
27	CDCA8	cl1
28	CDK1	cl1
29	CDKN3	cl1
30	CDT1	cl1
31	CENPA	cl1
32	CENPC	cl1
33	CENPE	cl1
34	CENPF	cl1
35	CENPH	cl1
36	CENPI	cl1
37	CENPM	cl1
38	CENPN	cl1
39	CENPS	cl1
40	CENPU	cl1
41	CENPW	cl1
42	CEP55	cl1
43	CHEK1	cl1
44	CKAP2	cl1
45	CKAP2L	cl1
46	CKS2	cl1
47	CLSPN	cl1
48	COL27A1	cl1
49	COL5A3	cl1
50	COL6A1	cl1
51	COL6A2	cl1
52	CPT1A	cl1
53	CTU1	cl1
54	DEPDC1	cl1
55	DEPDC1B	cl1
56	DHX33	cl1
57	DLGAP5	cl1
58	DNMT1	cl1
59	DTL	cl1
60	DUSP4	cl1
61	DYNC1H1	cl1
62	E2F1	cl1
63	E2F8	cl1
64	ECT2	cl1
65	ELN	cl1
66	ESPL1	cl1
67	EXO1	cl1
68	FANCI	cl1
69	FEN1	cl1
70	FOXM1	cl1
71	FZD8	cl1
72	GTSE1	cl1
73	H2AX	cl1
74	HJURP	cl1
75	HMMR	cl1
76	INCENP	cl1
77	INTS1	cl1
78	ITGA5	cl1
79	ITPR1	cl1
80	JAG1	cl1
81	KIF11	cl1
82	KIF14	cl1
83	KIF15	cl1
84	KIF18A	cl1
85	KIF18B	cl1
86	KIF20A	cl1
87	KIF22	cl1
88	KIF23	cl1
89	KIF2C	cl1
90	KIF4A	cl1
91	KIFC1	cl1
92	KNL1	cl1
93	KNTC1	cl1
94	LIG1	cl1
95	LIMD1	cl1
96	LMNB1	cl1
97	LMNB2	cl1
98	LYAR	cl1
99	MAD2L1	cl1
100	MAPK12	cl1
101	MAVS	cl1
102	MBD3	cl1
103	MCM10	cl1
104	MCM3	cl1
105	MCM4	cl1
106	MCM5	cl1
107	MCM6	cl1
108	MCM7	cl1
109	MELK	cl1
110	MKI67	cl1
111	MMP1	cl1
112	MMP3	cl1
113	MND1	cl1
114	MYBBP1A	cl1
115	MYBL2	cl1
116	NAT14	cl1
117	NCAPG	cl1
118	NCAPG2	cl1
119	NCAPH	cl1
120	NDC80	cl1
121	NDOR1	cl1
122	NEK2	cl1
123	NOTCH3	cl1
124	NUF2	cl1
125	NUP62	cl1
126	NUSAP1	cl1
127	OIP5	cl1
128	PBK	cl1
129	PCLAF	cl1
130	PGM2L1	cl1
131	PHLPP1	cl1
132	PIGO	cl1
133	PLK1	cl1
134	PLK4	cl1
135	POLD1	cl1
136	PORCN	cl1
137	PRC1	cl1
138	PTTG1	cl1
139	RACGAP1	cl1
140	RAD51	cl1
141	RAD51AP1	cl1
142	RFC4	cl1
143	RRM2	cl1
144	SGO1	cl1
145	SHCBP1	cl1
146	SKA1	cl1
147	SKA3	cl1
148	SLC26A6	cl1
149	SMC2	cl1
150	SMC4	cl1
151	SPAG5	cl1
152	SPC24	cl1
153	SPC25	cl1
154	ST3GAL2	cl1
155	TACC3	cl1
156	TK1	cl1
157	TOP2A	cl1
158	TPX2	cl1
159	TRIP13	cl1
160	TROAP	cl1
161	TTK	cl1
162	TYMS	cl1
163	UBE2C	cl1
164	ZWILCH	cl1
165	TGFB1	cl1
166	ITPR1	cl1
167	TRIP13	cl1
168	AURKA	cl1
169	NCAPH	cl1
170	DLGAP5	cl1
171	CCNB1	cl1
172	KIF23	cl1
173	KIF11	cl1
174	MCM4	cl1
175	DEPDC1B	cl1
176	CENPE	cl1
177	CDC20	cl1
178	PLK1	cl1
179	TTK	cl1
180	NUSAP1	cl1
181	TYMS	cl1
182	SHCBP1	cl1
183	MKI67	cl1
184	CCNA2	cl1
185	EXO1	cl1
186	UBE2C	cl1
187	BIRC5	cl1
188	KIF4A	cl1
189	RRM2	cl1
190	NEK2	cl1
191	CDCA8	cl1
192	BUB1B	cl1
193	SMC4	cl1
194	PBK	cl1
195	CDK1	cl1
196	KIF2C	cl1
197	KIF14	cl1
198	MELK	cl1
199	CKAP2L	cl1
200	PRC1	cl1
201	CENPF	cl1
202	AURKB	cl1
203	DEPDC1	cl1
204	TOP2A	cl1
205	HMMR	cl1
206	INCENP	cl1
207	NUF2	cl1
208	ASPM	cl1
209	BUB1	cl1
210	TPX2	cl1
211	CEP55	cl1
212	KIF20A	cl1
213	ECT2	cl1
214	RACGAP1	cl1
215	MCM5	cl1
216	MCM10	cl1
217	PCLAF	cl1
218	FOXM1	cl1
219	CDCA3	cl1
220	CENPA	cl1
221	MCM3	cl1
222	CDC45	cl1
223	MCM7	cl1
224	MCM6	cl1
225	OIP5	cl1
226	MND1	cl1
227	NCAPG	cl1
228	TROAP	cl1
229	ESPL1	cl1
230	NDC80	cl1
231	KIF18A	cl1
232	SGO1	cl1
233	PLK4	cl1
234	CDCA5	cl1
235	SPC25	cl1
236	SMC2	cl1
237	CCNB2	cl1
238	MAD2L1	cl1
239	SPAG5	cl1
240	KIF15	cl1
241	CDCA2	cl1
242	KNTC1	cl1
243	CDKN3	cl1
244	KNL1	cl1
245	DTL	cl1
246	KIF18B	cl1
247	CKS2	cl1
248	TK1	cl1
249	ZWINT	cl1
250	KIFC1	cl1
251	PTTG1	cl1
252	CKAP2	cl1
253	HJURP	cl1
254	KIF22	cl1
255	CDC6	cl1
256	UBE2S	cl1
257	FEN1	cl1
258	CHEK1	cl1
259	CDC25C	cl1
260	MYBL2	cl1
261	BRCA1	cl1
262	TACC3	cl1
263	CENPM	cl1
264	PIMREG	cl1
265	CENPC	cl1
266	CENPU	cl1
267	SKA1	cl1
