gene_name	cluster
1	ABL1	green
2	ACAN	green
3	ACTN1	green
4	ADAM15	green
5	ADAMTS2	green
6	ADAMTS7	green
7	ADAMTSL4	green
8	ADARB1	green
9	ADD1	green
10	ADH1B	green
11	ADH5	green
12	AGRN	green
13	AHNAK2	green
14	AKT1	green
15	AKT2	green
16	ALPL	green
17	AMFR	green
18	ANGPTL2	green
19	ANPEP	green
20	AOX1	green
21	AP2A1	green
22	APOD	green
23	ARHGDIA	green
24	BGN	green
25	C1S	green
26	CALCOCO1	green
27	CALM3	green
28	CAT	green
29	CD44	green
30	CLSTN1	green
31	CNN2	green
32	COL11A1	green
33	COL12A1	green
34	COL14A1	green
35	COL15A1	green
36	COL18A1	green
37	COL1A1	green
38	COL1A2	green
39	COL2A1	green
40	COL3A1	green
41	COL4A1	green
42	COL4A2	green
43	COL4A3	green
44	COL4A4	green
45	COL4A5	green
46	COL4A6	green
47	COL5A1	green
48	COL5A2	green
49	COL5A3	green
50	COL6A1	green
51	COL6A2	green
52	COL6A3	green
53	COL6A5	green
54	COL6A6	green
55	COL7A1	green
56	COL9A1	green
57	COL9A2	green
58	COL9A3	green
59	COMP	green
60	COTL1	green
61	CRIM1	green
62	CRLF1	green
63	CSPG4	green
64	CTSA	green
65	DAG1	green
66	DCN	green
67	DDOST	green
68	DHCR24	green
69	ELN	green
70	EMP1	green
71	ENDOD1	green
72	ENTPD6	green
73	ERBB2	green
74	ESYT1	green
75	FABP4	green
76	FADS2	green
77	FAM20B	green
78	FASN	green
79	FBN1	green
80	FGFRL1	green
81	FKBP10	green
82	FKBP5	green
83	FLNA	green
84	FLNB	green
85	FN1	green
86	FRZB	green
87	FSCN1	green
88	FURIN	green
89	FYN	green
90	G6PD	green
91	GABARAPL1	green
92	GALNT2	green
93	GGT5	green
94	GLUL	green
95	GNAS	green
96	GPC4	green
97	GPX3	green
98	GRN	green
99	GSN	green
100	HSPB1	green
101	HSPG2	green
102	IGF2R	green
103	IGFBP2	green
104	ISM1	green
105	ITGA1	green
106	ITGA10	green
107	ITGA11	green
108	ITGA2	green
109	ITGA3	green
110	ITGA4	green
111	ITGA5	green
112	ITGA6	green
113	ITGA7	green
114	ITGA8	green
115	ITGA9	green
116	ITGAV	green
117	ITGB1	green
118	ITGB3	green
119	ITGB4	green
120	ITGB5	green
121	ITGB6	green
122	ITGB8	green
123	KANK2	green
124	LAMA1	green
125	LAMA2	green
126	LAMA3	green
127	LAMA4	green
128	LAMA5	green
129	LAMB1	green
130	LAMB2	green
131	LAMB3	green
132	LAMC1	green
133	LAMC2	green
134	LAMC3	green
135	LASP1	green
136	LRP1	green
137	LRPAP1	green
138	LTBP2	green
139	LTBP4	green
140	LTBR	green
141	LUM	green
142	MAGED1	green
143	MET	green
144	MFAP4	green
145	MINK1	green
146	MMP14	green
147	MMP2	green
148	NCOR2	green
149	NCSTN	green
150	NDST1	green
151	NID1	green
152	NID2	green
153	NOTCH3	green
154	NRP1	green
155	NRP2	green
156	PACS1	green
157	PARVB	green
158	PCDH18	green
159	PDGFRB	green
160	PKD1	green
161	PLCD1	green
162	PLEC	green
163	PLXNA1	green
164	PLXNA2	green
165	PLXNA3	green
166	PLXNA4	green
167	PLXNB1	green
168	PLXNB2	green
169	PLXND1	green
170	POSTN	green
171	PRG4	green
172	PTK2	green
173	PTK2B	green
174	PXN	green
175	RAPGEF1	green
176	RECK	green
177	RPS6KA2	green
178	SDC4	green
179	SELENBP1	green
180	SEMA3B	green
181	SEMA3F	green
182	SIX1	green
183	SKI	green
184	SLC39A13	green
185	SLC9A3R1	green
186	SMAD3	green
187	SNX33	green
188	SORT1	green
189	SUN2	green
190	TGFB1	green
191	TGFBR2	green
192	THBS1	green
193	TIMP4	green
194	TLN1	green
195	TLN2	green
196	TNC	green
197	TNKS1BP1	green
198	TSC22D3	green
199	TGFB1	green
200	PDGFRB	green
201	PXN	green
202	ERBB2	green
203	ANPEP	green
204	SMAD3	green
205	FYN	green
206	FN1	green
207	SORBS2	green
208	PCBP2	green
209	COL6A1	green
210	GNAS	green
211	RAPGEF1	green
212	CD44	green
213	AKT1	green
214	AGRN	green
215	TLN2	green
216	DCN	green
217	MMP2	green
218	COMP	green
219	COL1A1	green
220	VTN	green
221	ADAMTS2	green
222	FABP4	green
223	THBS1	green
224	NID1	green
225	TNC	green
226	LUM	green
227	COL1A2	green
228	MMP14	green
229	CSPG4	green
230	FBN1	green
231	BGN	green
232	COL9A1	green
233	ELN	green
234	COL11A1	green
235	SDC4	green
236	COL9A2	green
237	HSPG2	green
238	ALPL	green
239	POSTN	green
240	COL2A1	green
241	ADAMTS7	green
242	COL4A6	green
243	ITGB1	green
244	COL9A3	green
245	TNXB	green
246	PRG4	green
247	ITGB4	green
248	PYGB	green
249	ITGB8	green
250	ITGAV	green
251	ITGA9	green
252	ESYT1	green
253	ITGA1	green
254	ITGB6	green
255	ITGA5	green
256	COL6A3	green
257	ITGB5	green
258	ITGA2	green
259	ITGA3	green
260	TLN1	green
261	PLEC	green
262	ITGA11	green
263	P4HB	green
264	SYNE3	green
265	SPTBN1	green
266	PLXNB1	green
267	AHNAK2	green
268	ITGA10	green
269	FLNA	green
270	GSN	green
271	ITGA8	green
272	FSCN1	green
273	PLXNA1	green
274	DAG1	green
275	CNN2	green
276	ITGA4	green
277	ITGA7	green
278	ITGA6	green
279	ITGB3	green
280	PARVB	green
281	GRN	green
282	SNX33	green
283	FURIN	green
284	SLC39A13	green
285	COL6A5	green
286	COL4A1	green
287	COL4A2	green
288	COL12A1	green
289	COL14A1	green
290	COL6A2	green
291	COL7A1	green
292	COL5A3	green
293	COL5A2	green
294	COL5A1	green
295	COL3A1	green
296	SORT1	green
297	LTBP2	green
298	MFAP4	green
299	COL18A1	green
300	CALM3	green
301	MAOA	green
302	AOX1	green
303	SEMA3F	green
304	NID2	green
305	LAMB1	green
306	LAMA4	green
307	LRP1	green
308	LAMA5	green
309	LAMC1	green
310	NDST1	green
311	LAMB2	green
312	LAMA3	green
313	PTK2	green
314	PLXNB2	green
315	GPC4	green
316	FLNB	green
317	C1S	green
318	LAMA1	green
319	LAMA2	green
320	HSPB6	green
321	TNFRSF1A	green
322	TNS1	green
323	IGFBP2	green
324	HSPB1	green
325	PKD1	green
326	SLC9A3R1	green
327	NOTCH3	green
328	NRP1	green
329	FASN	green
330	GLUL	green
331	MET	green
332	TRAF7	green
333	TNS2	green
334	PPL	green
335	MINK1	green
336	IGF2R	green
337	TGFBR2	green
338	SREBF2	green
339	THBS2	green
340	GPX3	green
341	AKT2	green
342	G6PD	green
343	NCOR2	green
344	GABARAPL1	green
345	PLCD1	green
346	FKBP5	green
347	LRPAP1	green
348	TXNIP	green
349	ARHGDIA	green
350	RECK	green
351	GGT5	green
352	CTSA	green
353	PRCP	green
354	CD99L2	green
355	CAT	green
356	RPS6KA2	green
357	CLSTN1	green
358	PLTP	green
359	COTL1	green
360	KANK2	green
361	TGFBR3	green
362	MRC2	green
363	FKBP10	green
364	COL15A1	green
365	CIRBP	green
366	PLA2G2A	green
367	PTK2B	green
368	SDF4	green
369	LAMC2	green
370	COL4A5	green
371	COL6A6	green
372	LAMC3	green
373	LAMB3	green
374	COL4A3	green
375	COL4A4	green
376	ZCCHC24	green
377	FRZB	green
378	LTBP4	green
379	NCSTN	green
380	NRP2	green
381	SEMA3B	green
382	SVEP1	green
383	FAM20B	green
384	TMEM43	green
385	STS	green
386	TIMP4	green
387	PMP22	green
388	TOB1	green
389	OSBPL5	green
390	SLC35B2	green
391	PLIN3	green
392	TSC22D3	green
393	SEPTIN9	green
394	LASP1	green
395	PACS1	green
396	ITM2B	green
397	PRUNE2	green
398	PLXNA3	green
399	PLXNA4	green
400	PLXNA2	green
401	SMARCD2	green
402	SUSD2	green
403	SIX2	green
404	PLXND1	green
405	SKI	green
406	SRPX	green
407	TNKS1BP1	green
408	TMBIM1	green
409	SIX1	green
410	PLCD3	green
411	SUN2	green
412	STEAP4	green
