gene_id	Modules	gene_name
59	ENSG00000011422	greenyellow	PLAUR
63	ENSG00000012061	greenyellow	ERCC1
73	ENSG00000013810	greenyellow	TACC3
206	ENSG00000067057	greenyellow	PFKP
223	ENSG00000068489	greenyellow	PRR11
247	ENSG00000071127	greenyellow	WDR1
388	ENSG00000088826	greenyellow	SMOX
415	ENSG00000090530	greenyellow	P3H2
648	ENSG00000105329	greenyellow	TGFB1
697	ENSG00000106546	greenyellow	AHR
837	ENSG00000111674	greenyellow	ENO2
865	ENSG00000112655	greenyellow	PTK7
1001	ENSG00000116729	greenyellow	WLS
1108	ENSG00000121068	greenyellow	TBX2
1146	ENSG00000123136	greenyellow	DDX39A
1192	ENSG00000124785	greenyellow	NRN1
1213	ENSG00000125753	greenyellow	VASP
1252	ENSG00000127463	greenyellow	EMC1
1286	ENSG00000128805	greenyellow	ARHGAP22
1329	ENSG00000130707	greenyellow	ASS1
1453	ENSG00000134686	greenyellow	PHC2
1471	ENSG00000135047	greenyellow	CTSL
1559	ENSG00000137309	greenyellow	HMGA1
1631	ENSG00000139318	greenyellow	DUSP6
1679	ENSG00000141469	greenyellow	SLC14A1
1732	ENSG00000143321	greenyellow	HDGF
1758	ENSG00000143761	greenyellow	ARF1
1773	ENSG00000144136	greenyellow	SLC20A1
1990	ENSG00000156466	greenyellow	GDF6
2030	ENSG00000159167	greenyellow	STC1
2098	ENSG00000162909	greenyellow	CAPN2
2168	ENSG00000164283	greenyellow	ESM1
2294	ENSG00000167900	greenyellow	TK1
2299	ENSG00000168003	greenyellow	SLC3A2
2310	ENSG00000168209	greenyellow	DDIT4
2395	ENSG00000170891	greenyellow	CYTL1
2410	ENSG00000171604	greenyellow	CXXC5
2479	ENSG00000174136	greenyellow	RGMB
2597	ENSG00000182199	greenyellow	SHMT2
2616	ENSG00000183207	greenyellow	RUVBL2
2699	ENSG00000187678	greenyellow	SPRY4
2708	ENSG00000188229	greenyellow	TUBB4B
2766	ENSG00000197043	greenyellow	ANXA6
2964	ENSG00000249992	greenyellow	TMEM158
