gene_id	Modules	gene_name
3	ENSG00000001617	green	SEMA3F
5	ENSG00000002834	green	LASP1
8	ENSG00000003989	green	SLC7A2
10	ENSG00000004399	green	PLXND1
12	ENSG00000004776	green	HSPB6
24	ENSG00000005884	green	ITGA3
28	ENSG00000006016	green	CRLF1
42	ENSG00000008710	green	PKD1
54	ENSG00000010295	green	IFFO1
55	ENSG00000010810	green	FYN
56	ENSG00000011028	green	MRC2
66	ENSG00000012822	green	CALCOCO1
83	ENSG00000019144	green	PHLDB1
85	ENSG00000021762	green	OSBPL5
103	ENSG00000030582	green	GRN
119	ENSG00000041982	green	TNC
168	ENSG00000060718	green	COL11A1
183	ENSG00000064601	green	CTSA
184	ENSG00000064666	green	CNN2
209	ENSG00000067113	green	PLPP1
211	ENSG00000067182	green	TNFRSF1A
231	ENSG00000069702	green	TGFBR3
240	ENSG00000070614	green	NDST1
248	ENSG00000071242	green	RPS6KA2
258	ENSG00000072110	green	ACTN1
273	ENSG00000074181	green	NOTCH3
291	ENSG00000075618	green	FSCN1
298	ENSG00000076356	green	PLXNA2
299	ENSG00000076716	green	GPC4
315	ENSG00000078725	green	BRINP1
317	ENSG00000078808	green	SDF4
319	ENSG00000079308	green	TNS1
327	ENSG00000080573	green	COL5A3
372	ENSG00000087116	green	ADAMTS2
375	ENSG00000087274	green	ADD1
377	ENSG00000087303	green	NID2
380	ENSG00000087460	green	GNAS
408	ENSG00000090006	green	LTBP4
451	ENSG00000096060	green	FKBP5
455	ENSG00000097007	green	ABL1
459	ENSG00000099250	green	NRP1
465	ENSG00000099622	green	CIRBP
473	ENSG00000099994	green	SUSD2
474	ENSG00000099998	green	GGT5
489	ENSG00000100242	green	SUN2
504	ENSG00000100364	green	KIAA0930
508	ENSG00000100403	green	ZC3H7B
527	ENSG00000100979	green	PLTP
529	ENSG00000100994	green	PYGB
538	ENSG00000101230	green	ISM1
552	ENSG00000101474	green	APMAP
559	ENSG00000101846	green	STS
562	ENSG00000101955	green	SRPX
571	ENSG00000102181	green	CD99L2
591	ENSG00000103187	green	COTL1
642	ENSG00000105221	green	AKT2
649	ENSG00000105355	green	PLIN3
676	ENSG00000105976	green	MET
682	ENSG00000106211	green	HSPB1
710	ENSG00000106772	green	PRUNE2
721	ENSG00000107263	green	RAPGEF1
754	ENSG00000108604	green	SMARCD2
770	ENSG00000109062	green	NHERF1
771	ENSG00000109099	green	PMP22
812	ENSG00000111077	green	TNS2
818	ENSG00000111321	green	LTBR
838	ENSG00000111676	green	ATN1
897	ENSG00000113719	green	ERGIC1
898	ENSG00000113721	green	PDGFRB
912	ENSG00000114270	green	COL7A1
923	ENSG00000114554	green	PLXNA1
945	ENSG00000115306	green	SPTBN1
954	ENSG00000115457	green	IGFBP2
981	ENSG00000116133	green	DHCR24
984	ENSG00000116199	green	FAM20B
996	ENSG00000116649	green	SRM
999	ENSG00000116690	green	PRG4
1009	ENSG00000116962	green	NID1
1050	ENSG00000118898	green	PPL
1055	ENSG00000119147	green	ECRG4
1068	ENSG00000119681	green	LTBP2
1100	ENSG00000120899	green	PTK2B
1111	ENSG00000121691	green	CAT
1136	ENSG00000122707	green	RECK
1152	ENSG00000123384	green	LRP1
1158	ENSG00000123933	green	MXD4
1244	ENSG00000126778	green	SIX1
1250	ENSG00000127418	green	FGFRL1
1266	ENSG00000127954	green	STEAP4
1340	ENSG00000130827	green	PLXNA3
1366	ENSG00000131653	green	TRAF7
1386	ENSG00000132471	green	WBP2
1413	ENSG00000133687	green	TMTC1
1428	ENSG00000134243	green	SORT1
1445	ENSG00000134531	green	EMP1
1458	ENSG00000134824	green	FADS2
1494	ENSG00000135821	green	GLUL
1496	ENSG00000135862	green	LAMC1
1501	ENSG00000135926	green	TMBIM1
1511	ENSG00000136068	green	FLNB
1513	ENSG00000136156	green	ITM2B
1523	ENSG00000136378	green	ADAMTS7
1538	ENSG00000136830	green	NIBAN2
1540	ENSG00000136859	green	ANGPTL2
1549	ENSG00000137076	green	TLN1
1562	ENSG00000137509	green	PRCP
1599	ENSG00000138356	green	AOX1
1625	ENSG00000139112	green	GABARAPL1
1637	ENSG00000139641	green	ESYT1
1662	ENSG00000140564	green	FURIN
1673	ENSG00000141232	green	TOB1
1680	ENSG00000141503	green	MINK1
1681	ENSG00000141522	green	ARHGDIA
1687	ENSG00000141736	green	ERBB2
1689	ENSG00000141756	green	FKBP10
1696	ENSG00000142156	green	COL6A1
1698	ENSG00000142173	green	COL6A2
1700	ENSG00000142208	green	AKT1
1712	ENSG00000142798	green	HSPG2
1737	ENSG00000143382	green	ADAMTSL4
1741	ENSG00000143416	green	SELENBP1
1745	ENSG00000143537	green	ADAM15
1753	ENSG00000143641	green	GALNT2
1852	ENSG00000148180	green	GSN
1869	ENSG00000149090	green	PAMR1
1871	ENSG00000149115	green	TNKS1BP1
1875	ENSG00000149218	green	ENDOD1
1884	ENSG00000149577	green	SIDT2
1892	ENSG00000150403	green	TMCO3
1902	ENSG00000150938	green	CRIM1
1928	ENSG00000152518	green	ZFP36L2
1944	ENSG00000153786	green	ZDHHC7
1962	ENSG00000154556	green	SORBS2
2004	ENSG00000157150	green	TIMP4
2009	ENSG00000157514	green	TSC22D3
2012	ENSG00000157593	green	SLC35B2
2017	ENSG00000157766	green	ACAN
2020	ENSG00000157933	green	SKI
2042	ENSG00000159461	green	AMFR
2047	ENSG00000160014	green	CALM3
2051	ENSG00000160211	green	G6PD
2065	ENSG00000161638	green	ITGA5
2067	ENSG00000161714	green	PLCD3
2080	ENSG00000162551	green	ALPL
2093	ENSG00000162736	green	NCSTN
2096	ENSG00000162804	green	SNED1
2100	ENSG00000162998	green	FRZB
2119	ENSG00000163513	green	TGFBR2
2138	ENSG00000163812	green	ZDHHC3
2147	ENSG00000163956	green	LRPAP1
2153	ENSG00000164050	green	PLXNB1
2179	ENSG00000164574	green	GALNT10
2185	ENSG00000164692	green	COL1A2
2192	ENSG00000164889	green	SLC4A2
2204	ENSG00000165124	green	SVEP1
2209	ENSG00000165424	green	ZCCHC24
2225	ENSG00000165802	green	NSMF
2227	ENSG00000165915	green	SLC39A13
2235	ENSG00000166147	green	FBN1
2248	ENSG00000166482	green	MFAP4
2258	ENSG00000166825	green	ANPEP
2259	ENSG00000166833	green	NAV2
2263	ENSG00000166949	green	SMAD3
2273	ENSG00000167291	green	TBC1D16
2358	ENSG00000169710	green	FASN
2377	ENSG00000170323	green	FABP4
2385	ENSG00000170577	green	SIX2
2394	ENSG00000170876	green	TMEM43
2409	ENSG00000171603	green	CLSTN1
2450	ENSG00000173402	green	DAG1
2460	ENSG00000173546	green	CSPG4
2461	ENSG00000173548	green	SNX33
2468	ENSG00000173705	green	SUSD5
2480	ENSG00000174306	green	ZHX3
2497	ENSG00000175115	green	PACS1
2503	ENSG00000175274	green	TP53I11
2520	ENSG00000176438	green	SYNE3
2552	ENSG00000178209	green	PLEC
2565	ENSG00000179222	green	MAGED1
2593	ENSG00000182095	green	TNRC18
2599	ENSG00000182326	green	C1S
2646	ENSG00000184640	green	SEPTIN9
2658	ENSG00000185201	green	IFITM2
2663	ENSG00000185567	green	AHNAK2
2664	ENSG00000185585	green	OLFML2A
2665	ENSG00000185624	green	P4HB
2692	ENSG00000187091	green	PLCD1
2710	ENSG00000188257	green	PLA2G2A
2721	ENSG00000189058	green	APOD
2726	ENSG00000189184	green	PCDH18
2727	ENSG00000189221	green	MAOA
2741	ENSG00000196498	green	NCOR2
2747	ENSG00000196569	green	LAMA2
2748	ENSG00000196576	green	PLXNB2
2752	ENSG00000196616	green	ADH1B
2763	ENSG00000196961	green	AP2A1
2768	ENSG00000197081	green	IGF2R
2770	ENSG00000197111	green	PCBP2
2772	ENSG00000197256	green	KANK2
2775	ENSG00000197381	green	ADARB1
2779	ENSG00000197586	green	ENTPD6
2796	ENSG00000197894	green	ADH5
2855	ENSG00000198911	green	SREBF2
2883	ENSG00000211445	green	GPX3
2903	ENSG00000214078	green	CPNE1
2912	ENSG00000221866	green	PLXNA4
2914	ENSG00000221890	green	NPTXR
2955	ENSG00000244038	green	DDOST
2965	ENSG00000253368	green	TRNP1
2977	ENSG00000262655	green	SPON1
2982	ENSG00000265972	green	TXNIP
