Genes	Modules
1	ENSG00000001036	blue
2	ENSG00000001461	darkmagenta
3	ENSG00000001617	green
4	ENSG00000002549	midnightblue
5	ENSG00000002834	green
6	ENSG00000003096	darkturquoise
7	ENSG00000003436	steelblue
8	ENSG00000003989	green
9	ENSG00000004059	blue
10	ENSG00000004399	green
11	ENSG00000004455	darkturquoise
12	ENSG00000004776	green
13	ENSG00000004779	blue
14	ENSG00000004897	black
15	ENSG00000005007	brown
16	ENSG00000005022	steelblue
17	ENSG00000005075	grey
18	ENSG00000005100	darkmagenta
19	ENSG00000005238	darkmagenta
20	ENSG00000005243	blue
21	ENSG00000005339	darkmagenta
22	ENSG00000005483	darkmagenta
23	ENSG00000005810	white
24	ENSG00000005884	green
25	ENSG00000005893	black
26	ENSG00000006007	brown
27	ENSG00000006015	darkmagenta
28	ENSG00000006016	green
29	ENSG00000006042	blue
30	ENSG00000006125	brown
31	ENSG00000006327	grey60
32	ENSG00000006534	darkorange
33	ENSG00000007080	cyan
34	ENSG00000007168	black
35	ENSG00000007202	darkmagenta
36	ENSG00000008018	blue
37	ENSG00000008256	brown
38	ENSG00000008283	darkmagenta
39	ENSG00000008394	blue
40	ENSG00000008441	darkorange
41	ENSG00000008513	darkmagenta
42	ENSG00000008710	green
43	ENSG00000008952	darkmagenta
44	ENSG00000008988	blue
45	ENSG00000009307	black
46	ENSG00000009335	black
47	ENSG00000009844	darkturquoise
48	ENSG00000009954	darkmagenta
49	ENSG00000010017	black
50	ENSG00000010244	black
51	ENSG00000010256	cyan
52	ENSG00000010270	darkturquoise
53	ENSG00000010278	lightgreen
54	ENSG00000010295	green
55	ENSG00000010810	green
56	ENSG00000011028	green
57	ENSG00000011275	darkmagenta
58	ENSG00000011304	grey
59	ENSG00000011422	greenyellow
60	ENSG00000011426	black
61	ENSG00000011454	darkturquoise
62	ENSG00000011465	lightyellow
63	ENSG00000012061	greenyellow
64	ENSG00000012171	darkorange
65	ENSG00000012660	black
66	ENSG00000012822	green
67	ENSG00000012983	black
68	ENSG00000013288	darkorange
69	ENSG00000013297	grey
70	ENSG00000013364	darkorange
71	ENSG00000013375	darkturquoise
72	ENSG00000013441	black
73	ENSG00000013810	greenyellow
74	ENSG00000014216	lightgreen
75	ENSG00000014641	darkturquoise
76	ENSG00000014824	black
77	ENSG00000015153	darkmagenta
78	ENSG00000015171	black
79	ENSG00000015676	brown
80	ENSG00000016864	darkturquoise
81	ENSG00000017797	darkmagenta
82	ENSG00000018408	black
83	ENSG00000019144	green
84	ENSG00000019549	black
85	ENSG00000021762	green
86	ENSG00000022267	lightyellow
87	ENSG00000022840	darkorange
88	ENSG00000023287	black
89	ENSG00000023608	darkmagenta
90	ENSG00000023734	darkturquoise
91	ENSG00000023909	darkmagenta
92	ENSG00000024422	darkorange
93	ENSG00000025293	darkmagenta
94	ENSG00000025708	grey
95	ENSG00000025800	darkmagenta
96	ENSG00000026025	blue
97	ENSG00000026508	brown
98	ENSG00000027697	darkturquoise
99	ENSG00000028277	darkmagenta
100	ENSG00000028310	darkmagenta
101	ENSG00000028528	black
102	ENSG00000029363	darkturquoise
103	ENSG00000030582	green
104	ENSG00000031698	darkturquoise
105	ENSG00000032444	darkmagenta
106	ENSG00000033100	brown
107	ENSG00000034152	darkorange
108	ENSG00000034510	blue
109	ENSG00000034713	blue
110	ENSG00000035403	brown
111	ENSG00000035862	grey
112	ENSG00000035928	black
113	ENSG00000037965	darkmagenta
114	ENSG00000038219	steelblue
115	ENSG00000038427	pink
116	ENSG00000039560	darkturquoise
117	ENSG00000040275	darkturquoise
118	ENSG00000041357	blue
119	ENSG00000041982	green
120	ENSG00000042493	darkorange
121	ENSG00000042753	darkmagenta
122	ENSG00000044115	black
123	ENSG00000044574	darkturquoise
124	ENSG00000046653	brown
125	ENSG00000047315	black
126	ENSG00000047410	black
127	ENSG00000047457	lightyellow
128	ENSG00000047849	grey
129	ENSG00000047932	darkmagenta
130	ENSG00000048544	darkmagenta
131	ENSG00000048649	darkmagenta
132	ENSG00000048828	brown
133	ENSG00000049239	grey60
134	ENSG00000049245	darkturquoise
135	ENSG00000049323	steelblue
136	ENSG00000049449	white
137	ENSG00000049540	midnightblue
138	ENSG00000049860	black
139	ENSG00000050130	black
140	ENSG00000050165	darkorange
141	ENSG00000050405	black
142	ENSG00000051108	steelblue
