gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	regulation
ENSG00000080573	ENSG00000080573	323.770427486241	4.5437196776137	0.412629416534511	11.0116232521044	3.35896544810434e-28	3.20243765822267e-24	Upregulated
ENSG00000170891	ENSG00000170891	300.043767121443	3.9085125682502	0.597041182016748	6.54647063883872	5.89127250184195e-11	6.24082133695124e-08	Upregulated
ENSG00000105088	ENSG00000105088	140.987830319421	3.35868293855512	0.543708302060637	6.17736187920218	6.51815550790807e-10	3.27074182170503e-07	Upregulated
ENSG00000171208	ENSG00000171208	136.556019187085	3.20895478048419	0.676817775658549	4.74123892115843	2.12415257060587e-06	0.000251190602956343	Upregulated
ENSG00000146374	ENSG00000146374	727.828057833712	3.12423266373919	0.836481527473148	3.73496910706074	0.000187738231936551	0.00680568936609535	Upregulated
ENSG00000149968	ENSG00000149968	1364.29923036282	3.09417274447143	0.880084760015826	3.51576675911965	0.000438486012851315	0.0124051206128322	Upregulated
ENSG00000121068	ENSG00000121068	161.767147408088	3.09230186802228	0.339224118241375	9.11580781476733	7.80865432247447e-20	3.72238551552358e-16	Upregulated
ENSG00000101057	ENSG00000101057	49.6011113357221	2.68770113081368	0.347049290355286	7.74443632505973	9.60067931219633e-15	2.288321914062e-11	Upregulated
ENSG00000120875	ENSG00000120875	446.800097848289	2.65880582668088	0.489335620845464	5.43350149348835	5.52588209874595e-08	1.46343777581789e-05	Upregulated
ENSG00000068489	ENSG00000068489	120.388112067237	2.65178275119105	0.439153420754669	6.03839712015465	1.5565261623135e-09	6.45213931804212e-07	Upregulated
ENSG00000148773	ENSG00000148773	89.6161026367292	2.62617247145929	0.485882622512382	5.40495245102611	6.48255875413995e-08	1.62643987268343e-05	Upregulated
ENSG00000174938	ENSG00000174938	70.5241575565729	2.62075879158718	0.454403482943413	5.767470739025	8.04700509898666e-09	2.74000523620496e-06	Upregulated
ENSG00000196611	ENSG00000196611	1901.53085625441	2.58445163220059	0.698512105975664	3.69993821165159	0.000215651965898292	0.00742247596705531	Upregulated
ENSG00000129195	ENSG00000129195	38.3293208227255	2.54297982330006	0.326682390287724	7.78425742832463	7.01238460327744e-15	2.22853582692157e-11	Upregulated
ENSG00000166851	ENSG00000166851	52.6269950424202	2.52384023496392	0.35665178024763	7.07648293024522	1.47858957091917e-12	2.81937459382867e-09	Upregulated
ENSG00000117399	ENSG00000117399	91.794802019458	2.50049425820775	0.38592421492459	6.47923649646176	9.2187911168544e-11	7.99017768255362e-08	Upregulated
ENSG00000171848	ENSG00000171848	204.40967170308	2.48923758818548	0.564022505000049	4.41336571877618	1.01775854045754e-05	0.000829342728608736	Upregulated
ENSG00000159167	ENSG00000159167	1961.72884948298	2.48747425840972	0.648064055445062	3.8383154219245	0.00012388128436616	0.00495459347951821	Upregulated
ENSG00000154856	ENSG00000154856	47.524045131886	2.47714989228631	0.353523828659418	7.00702383112278	2.43440814589189e-12	3.86827454382221e-09	Upregulated
ENSG00000117724	ENSG00000117724	80.7231015891429	2.46576867904361	0.515616354846819	4.78217701177487	1.73406873784405e-06	0.000217534359823753	Upregulated
ENSG00000112984	ENSG00000112984	77.6086943159508	2.4472329048075	0.389938494668936	6.27594592035658	3.47514966343922e-10	2.12172645411007e-07	Upregulated
