#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTN1	ITGB4	9606.ENSP00000377941	9606.ENSP00000200181	0	0	0	0	0.048	0.073	0.650	0.493	0.822
ACTN1	ITGB8	9606.ENSP00000377941	9606.ENSP00000222573	0	0	0	0	0	0.071	0.650	0.096	0.680
ACTN1	VASP	9606.ENSP00000377941	9606.ENSP00000245932	0	0	0	0	0.083	0.292	0	0.393	0.572
ACTN1	ACTN4	9606.ENSP00000377941	9606.ENSP00000252699	0	0	0.049	0.982	0.177	0.949	0.900	0.775	0.998
ACTN1	ITGAV	9606.ENSP00000377941	9606.ENSP00000261023	0	0	0	0	0.063	0	0.650	0.268	0.739
ACTN1	ITGA2B	9606.ENSP00000377941	9606.ENSP00000262407	0	0	0	0	0.054	0	0.650	0.305	0.750
ACTN1	ITGA9	9606.ENSP00000377941	9606.ENSP00000264741	0	0	0	0	0.042	0	0.650	0.126	0.681
ACTN1	ITGB7	9606.ENSP00000377941	9606.ENSP00000267082	0	0	0	0	0	0.091	0.650	0.155	0.707
ACTN1	ITGA1	9606.ENSP00000377941	9606.ENSP00000282588	0	0	0	0	0.049	0	0.650	0.303	0.747
ACTN1	ITGB6	9606.ENSP00000377941	9606.ENSP00000283249	0	0	0	0	0.086	0.073	0.650	0.128	0.707
ACTN1	ITGA5	9606.ENSP00000377941	9606.ENSP00000293379	0	0	0	0	0.266	0	0.900	0.565	0.965
ACTN1	COL6A3	9606.ENSP00000377941	9606.ENSP00000295550	0	0	0	0	0.089	0	0	0.559	0.581
ACTN1	ITGB5	9606.ENSP00000377941	9606.ENSP00000296181	0	0	0	0	0.127	0.073	0.650	0.330	0.785
ACTN1	ITGA2	9606.ENSP00000377941	9606.ENSP00000296585	0	0	0	0	0.062	0	0.650	0.373	0.776
ACTN1	ITGA3	9606.ENSP00000377941	9606.ENSP00000315190	0	0	0	0	0.074	0	0.650	0.274	0.744
